t,x,y
0.001, 10, 2000
0.002, 11.4202, 2000.82
0.003, 12.8404, 2001.64
0.004, 14.2605, 2002.46
0.005, 15.6805, 2003.28
0.006, 17.1004, 2004.1
0.007, 18.5202, 2004.92
0.008, 19.94, 2005.74
0.009, 21.3597, 2006.56
0.01, 22.7793, 2007.38
0.011, 24.1988, 2008.2
0.012, 25.6182, 2009.02
0.013, 27.0375, 2009.84
0.014, 28.4568, 2010.66
0.015, 29.876, 2011.47
0.016, 31.2951, 2012.29
0.017, 32.7141, 2013.11
0.018, 34.1331, 2013.93
0.019, 35.552, 2014.75
0.02, 36.9707, 2015.57
0.021, 38.3894, 2016.39
0.022, 39.8081, 2017.21
0.023, 41.2266, 2018.03
0.024, 42.6451, 2018.85
0.025, 44.0635, 2019.66
0.026, 45.4818, 2020.48
0.027, 46.9, 2021.3
0.028, 48.3181, 2022.12
0.029, 49.7362, 2022.94
0.03, 51.1542, 2023.76
0.031, 52.5721, 2024.57
0.032, 53.9899, 2025.39
0.033, 55.4076, 2026.21
0.034, 56.8253, 2027.03
0.035, 58.2428, 2027.85
0.036, 59.6603, 2028.67
0.037, 61.0777, 2029.48
0.038, 62.4951, 2030.3
0.039, 63.9123, 2031.12
0.04, 65.3295, 2031.94
0.041, 66.7466, 2032.75
0.042, 68.1636, 2033.57
0.043, 69.5805, 2034.39
0.044, 70.9974, 2035.21
0.045, 72.4142, 2036.03
0.046, 73.8309, 2036.84
0.047, 75.2475, 2037.66
0.048, 76.664, 2038.48
0.049, 78.0805, 2039.29
0.05, 79.4968, 2040.11
0.051, 80.9131, 2040.93
0.052, 82.3293, 2041.75
0.053, 83.7455, 2042.56
0.054, 85.1615, 2043.38
0.055, 86.5775, 2044.2
0.056, 87.9934, 2045.01
0.057, 89.4092, 2045.83
0.058, 90.8249, 2046.65
0.059, 92.2405, 2047.47
0.06, 93.6561, 2048.28
0.061, 95.0716, 2049.1
0.062, 96.487, 2049.92
0.063, 97.9023, 2050.73
0.064, 99.3176, 2051.55
0.065, 100.733, 2052.36
0.066, 102.148, 2053.18
0.067, 103.563, 2054
0.068, 104.978, 2054.81
0.069, 106.393, 2055.63
0.07, 107.807, 2056.45
0.071, 109.222, 2057.26
0.072, 110.637, 2058.08
0.073, 112.051, 2058.89
0.074, 113.466, 2059.71
0.075, 114.88, 2060.53
0.076, 116.294, 2061.34
0.077, 117.709, 2062.16
0.078, 119.123, 2062.97
0.079, 120.537, 2063.79
0.08, 121.951, 2064.6
0.081, 123.365, 2065.42
0.082, 124.778, 2066.24
0.083, 126.192, 2067.05
0.084, 127.606, 2067.87
0.085, 129.019, 2068.68
0.086, 130.433, 2069.5
0.087, 131.846, 2070.31
0.088, 133.26, 2071.13
0.089, 134.673, 2071.94
0.09, 136.086, 2072.76
0.091, 137.499, 2073.57
0.092, 138.912, 2074.39
0.093, 140.325, 2075.2
0.094, 141.738, 2076.02
