t,x,y
0, 0, 0
1e-05, 0.0125631, 0.0105417
6e-05, 0.0753786, 0.0632502
0.00031, 0.389453, 0.326789
0.00156, 1.95974, 1.64441
0.00781, 9.80914, 8.23055
0.03906, 49.0052, 41.1128
0.19531, 243.732, 204.329
0.402317, 498.598, 417.587
0.623236, 766.847, 641.583
0.851558, 1040.22, 869.359
1.08644, 1317.55, 1099.9
1.3279, 1598.75, 1333.1
1.57612, 1883.88, 1568.97
1.83129, 2173.07, 1807.56
2.09361, 2466.4, 2048.92
2.36329, 2764, 2293.09
2.64056, 3065.99, 2540.11
2.92562, 3372.49, 2790.05
3.21873, 3683.62, 3042.94
3.52011, 3999.52, 3298.84
3.83001, 4320.33, 3557.78
4.14869, 4646.18, 3819.83
4.47641, 4977.24, 4085.02
4.81345, 5313.64, 4353.4
5.16007, 5655.55, 4625.02
5.51658, 6003.13, 4899.93
5.88327, 6356.56, 5178.17
6.26046, 6716.02, 5459.78
6.64846, 7081.68, 5744.82
7.0476, 7453.75, 6033.31
7.45824, 7832.43, 6325.3
7.88071, 8217.91, 6620.83
8.3154, 8610.43, 6919.93
8.76267, 9010.2, 7222.63
9.22292, 9417.47, 7528.97
9.69655, 9832.46, 7838.96
10.184, 10255.5, 8152.64
10.6857, 10686.7, 8470.02
11.202, 11126.5, 8791.11
11.7335, 11575, 9115.91
12.2807, 12032.7, 9444.43
12.844, 12499.8, 9776.66
13.4239, 12976.7, 10112.6
14.021, 13463.6, 10452.2
14.6359, 13961, 10795.4
14.7625, 14063, 10865.3
14.8615, 14142.6, 10919.8
14.957, 14219.3, 10972.1
14.9761, 14234.5, 10982.6
14.9951, 14249.8, 10993
14.9989, 14252.9, 10995.1
15.0027, 14255.9, 10997.2
15.0065, 14259, 10999.2
15.0073, 14259.6, 10999.7
15.0075, 14259.8, 10999.8
15.0077, 14259.9, 10999.9
15.0077, 14260, 10999.9
15.0078, 14260, 10999.9
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.0079, 14260.1, 11000
15.008, 14260.2, 11000
15.0083, 14260.4, 11000.2
15.0099, 14261.7, 11001.1
15.018, 14268.2, 11005.5
15.0582, 14300.2, 11027.3
15.1566, 14377.6, 11080
15.2721, 14466.6, 11140.4
15.3933, 14557.9, 11202.3
15.5186, 14650.2, 11264.7
15.6476, 14743.2, 11327.5
15.7806, 14837, 11390.5
15.9176, 14931.4, 11453.9
16.0588, 15026.6, 11517.5
16.2042, 15122.5, 11581.4
16.3539, 15219.2, 11645.7
16.5082, 15316.6, 11710.2
16.6672, 15414.8, 11775
16.8309, 15513.8, 11840
16.9996, 15613.6, 11905.3
17.1733, 15714.2, 11970.8
17.3522, 15815.7, 12036.6
17.5365, 15917.9, 12102.6
17.7263, 16021, 12168.7
17.9218, 16125, 12235.1
18.1232, 16229.9, 12301.6
18.3306, 16335.6, 12368.3
18.5442, 16442.2, 12435.1
18.7642, 16549.7, 12502.1
18.9907, 16658.2, 12569.1
19.224, 16767.6, 12636.1
19.4642, 16878, 12703.3
19.7116, 16989.3, 12770.4
19.9663, 17101.7, 12837.5
20.2286, 17215, 12904.5
20.4987, 17329.3, 12971.4
20.7768, 17444.7, 13038.2
21.0631, 17561.1, 13104.8
21.3579, 17678.6, 13171.2
21.6613, 17797.2, 13237.3
21.9738, 17916.8, 13303.1
22.2954, 18037.6, 13368.6
22.6265, 18159.5, 13433.6
22.9673, 18282.6, 13498
23.3181, 18406.8, 13562
23.6792, 18532.2, 13625.2
24.0508, 18658.8, 13687.8
24.4333, 18786.6, 13749.5
24.8269, 18915.6, 13810.4
25.2319, 19045.9, 13870.3
25.6487, 19177.4, 13929.1
26.0775, 19310.2, 13986.7
26.5187, 19444.3, 14043
26.9727, 19579.7, 14097.8
27.4396, 19716.4, 14151.1
27.92, 19854.4, 14202.7
28.414, 19993.8, 14252.5
28.9221, 20134.5, 14300.3
29.4446, 20276.6, 14345.9
29.9819, 20420.1, 14389.3
30.5344, 20564.9, 14430
31.1023, 20711.1, 14468.1
31.686, 20858.7, 14503.3
32.286, 21007.6, 14535.4
32.9026, 21157.9, 14564.1
33.5361, 21309.5, 14589.2
34.1869, 21462.5, 14610.4
34.8553, 21616.8, 14627.6
35.5417, 21772.4, 14640.4
36.2464, 21929.3, 14648.5
36.9697, 22087.3, 14651.7
37.0482, 22104.3, 14651.8
37.2108, 22139.3, 14651.6
37.3733, 22174.2, 14651.3
38.0081, 22309.2, 14647.3
38.8095, 22476.6, 14636.4
39.6571, 22650.2, 14617.8
40.5313, 22825.5, 14590.7
41.4304, 23002.1, 14554.4
42.3563, 23180.1, 14507.8
43.312, 23359.7, 14449.7
44.2677, 23535.4, 14381.2
45.2234, 23707, 14302.1
46.179, 23874.6, 14212
46.9983, 24015.2, 14125.8
47.8176, 24152.8, 14031.2
48.6369, 24287.5, 13927.8
49.3598, 24403.9, 13829.1
50.0826, 24517.9, 13723.2
50.8055, 24629.5, 13609.9
51.4408, 24725.6, 13503.9
52.076, 24819.7, 13391.7
52.7113, 24911.9, 13273.2
53.27, 24991.3, 13163.5
53.8287, 25069.1, 13048.4
54.3874, 25145.3, 12927.8
54.8799, 25211.1, 12816.6
55.3725, 25275.5, 12700.8
55.865, 25338.6, 12580
56.3576, 25400.3, 12454.1
56.7743, 25451.4, 12343.4
57.1909, 25501.4, 12228.7
57.6076, 25550.4, 12109.7
58.0242, 25598.2, 11986.3
58.3788, 25638.1, 11877.6
58.7333, 25677.1, 11765.3
59.0879, 25715.2, 11649.2
59.4424, 25752.5, 11529.2
59.7454, 25783.6, 11423.3
60.0484, 25814.1, 11314.2
60.3513, 25843.9, 11201.6
60.6543, 25872.9, 11085.4
60.7149, 25878.7, 11061.8
60.7552, 25882.5, 11045.9
60.7926, 25886, 11031.2
60.8294, 25889.4, 11016.6
60.8659, 25892.8, 11002
60.8674, 25893, 11001.5
60.8688, 25893.1, 11000.9
60.8706, 25893.3, 11000.2
60.8708, 25893.3, 11000.1
60.871, 25893.3, 11000
60.871, 25893.3, 11000
60.8711, 25893.3, 11000
60.8711, 25893.3, 11000
60.8711, 25893.3, 11000
60.8711, 25893.3, 11000
60.8714, 25893.4, 10999.9
60.8729, 25893.5, 10999.3
60.8802, 25894.2, 10996.3
60.9168, 25897.6, 10981.7
61.0998, 25914.6, 10908.5
61.8929, 25988.2, 10586.2
62.8926, 26080.5, 10169.1
63.9052, 26173.5, 9733.98
64.9178, 26265.8, 9285.9
65.9304, 26357.5, 8824.47
66.8213, 26437.5, 8407.18
67.7121, 26517, 7978.96
68.603, 26595.8, 7539.47
69.4938, 26674, 7088.33
70.2611, 26740.7, 6690.15
71.0283, 26806.8, 6282.73
71.7955, 26872.4, 5865.73
72.5627, 26937.3, 5438.78
73.2263, 26992.8, 5061.18
73.8899, 27047.9, 4675.55
74.5534, 27102.3, 4281.55
75.217, 27156.2, 3878.83
75.7929, 27202.5, 3521.95
76.3688, 27248.2, 3157.9
76.9447, 27293.4, 2786.39
77.5206, 27338.1, 2407.07
78.022, 27376.5, 2070.16
78.5233, 27414.5, 1726.76
79.0247, 27452, 1376.58
79.5261, 27489, 1019.26
79.9638, 27520.9, 701.194
80.4016, 27552.4, 377.147
80.8393, 27583.5, 46.8297
