t,x,y
0.001, 0, 0
0.002, 1.47397, 0.718899
0.003, 2.94784, 1.43774
0.004, 4.42161, 2.15652
0.005, 5.89527, 2.87524
0.006, 7.36883, 3.5939
0.007, 8.84229, 4.3125
0.008, 10.3156, 5.03104
0.009, 11.7889, 5.74952
0.01, 13.2621, 6.46794
0.011, 14.7351, 7.1863
0.012, 16.2081, 7.9046
0.013, 17.6809, 8.62285
0.014, 19.1536, 9.34103
0.015, 20.6263, 10.0592
0.016, 22.0988, 10.7772
0.017, 23.5713, 11.4952
0.018, 25.0436, 12.2132
0.019, 26.5158, 12.931
0.02, 27.988, 13.6489
0.021, 29.46, 14.3666
0.022, 30.9319, 15.0843
0.023, 32.4038, 15.802
0.024, 33.8755, 16.5196
0.025, 35.3471, 17.2371
0.026, 36.8186, 17.9546
0.027, 38.29, 18.672
0.028, 39.7614, 19.3893
0.029, 41.2326, 20.1066
0.03, 42.7037, 20.8239
0.031, 44.1747, 21.541
0.032, 45.6456, 22.2581
0.033, 47.1164, 22.9752
0.034, 48.5871, 23.6922
0.035, 50.0577, 24.4091
0.036, 51.5282, 25.126
0.037, 52.9986, 25.8428
0.038, 54.4689, 26.5596
0.039, 55.9391, 27.2763
0.04, 57.4092, 27.9929
0.041, 58.8792, 28.7095
0.042, 60.3491, 29.426
0.043, 61.8189, 30.1425
0.044, 63.2886, 30.8589
0.045, 64.7582, 31.5752
0.046, 66.2277, 32.2915
0.047, 67.6971, 33.0077
0.048, 69.1663, 33.7239
0.049, 70.6355, 34.44
0.05, 72.1046, 35.156
0.051, 73.5736, 35.872
0.052, 75.0425, 36.5879
0.053, 76.5113, 37.3038
0.054, 77.9799, 38.0196
0.055, 79.4485, 38.7353
0.056, 80.917, 39.451
0.057, 82.3854, 40.1667
0.058, 83.8536, 40.8822
0.059, 85.3218, 41.5977
0.06, 86.7899, 42.3132
0.061, 88.2578, 43.0286
0.062, 89.7257, 43.7439
0.063, 91.1935, 44.4592
0.064, 92.6611, 45.1744
0.065, 94.1287, 45.8896
0.066, 95.5962, 46.6047
0.067, 97.0635, 47.3197
0.068, 98.5308, 48.0347
0.069, 99.998, 48.7496
0.07, 101.465, 49.4645
0.071, 102.932, 50.1793
0.072, 104.399, 50.894
0.073, 105.866, 51.6087
0.074, 107.332, 52.3233
0.075, 108.799, 53.0379
0.076, 110.265, 53.7524
0.077, 111.732, 54.4669
0.078, 113.198, 55.1813
0.079, 114.664, 55.8956
0.08, 116.13, 56.6099
0.081, 117.596, 57.3241
0.082, 119.062, 58.0382
0.083, 120.528, 58.7523
0.084, 121.993, 59.4664
0.085, 123.459, 60.1804
0.086, 124.924, 60.8943
0.087, 126.39, 61.6081
0.088, 127.855, 62.3219
0.089, 129.32, 63.0357
0.09, 130.785, 63.7494
0.091, 132.25, 64.463
0.092, 133.715, 65.1766
0.093, 135.18, 65.8901
0.094, 136.644, 66.6035
0.095, 138.109, 67.3169
0.096, 139.573, 68.0303
0.097, 141.038, 68.7435
0.098, 142.502, 69.4567
0.099, 143.966, 70.1699
0.1, 145.43, 70.883
0.101, 146.894, 71.596
0.102, 148.358, 72.309
0.103, 149.822, 73.0219
0.104, 151.285, 73.7348
0.105, 152.749, 74.4476
0.106, 154.212, 75.1604
0.107, 155.675, 75.873
0.108, 157.139, 76.5857
0.109, 158.602, 77.2982
0.11, 160.065, 78.0108
0.111, 161.528, 78.7232
0.112, 162.991, 79.4356
0.113, 164.453, 80.1479
0.114, 165.916, 80.8602
0.115, 167.379, 81.5724
0.116, 168.841, 82.2846
0.117, 170.303, 82.9967
0.118, 171.766, 83.7088
0.119, 173.228, 84.4207
0.12, 174.69, 85.1327
0.121, 176.152, 85.8445
0.122, 177.614, 86.5563
0.123, 179.075, 87.2681
0.124, 180.537, 87.9798
0.125, 181.999, 88.6914
0.126, 183.46, 89.403
0.127, 184.921, 90.1145
0.128, 186.383, 90.826
0.129, 187.844, 91.5374
0.13, 189.305, 92.2487
0.131, 190.766, 92.96
0.132, 192.227, 93.6712
0.133, 193.687, 94.3824
0.134, 195.148, 95.0935
0.135, 196.608, 95.8046
0.136, 198.069, 96.5156
0.137, 199.529, 97.2265
0.138, 200.989, 97.9374
0.139, 202.45, 98.6482
0.14, 203.91, 99.359
0.141, 205.37, 100.07
0.142, 206.829, 100.78
0.143, 208.289, 101.491
0.144, 209.749, 102.201
0.145, 211.208, 102.912
0.146, 212.668, 103.622
0.147, 214.127, 104.333
0.148, 215.586, 105.043
0.149, 217.046, 105.753
0.15, 218.505, 106.463
0.151, 219.964, 107.173
0.152, 221.422, 107.884
0.153, 222.881, 108.594
0.154, 224.34, 109.304
0.155, 225.798, 110.013
0.156, 227.257, 110.723
0.157, 228.715, 111.433
0.158, 230.174, 112.143
0.159, 231.632, 112.852
0.16, 233.09, 113.562
0.161, 234.548, 114.272
0.162, 236.006, 114.981
0.163, 237.463, 115.69
0.164, 238.921, 116.4
0.165, 240.379, 117.109
0.166, 241.836, 117.818
0.167, 243.293, 118.528
0.168, 244.751, 119.237
0.169, 246.208, 119.946
0.17, 247.665, 120.655
0.171, 249.122, 121.364
0.172, 250.579, 122.073
0.173, 252.036, 122.781
0.174, 253.492, 123.49
0.175, 254.949, 124.199
0.176, 256.405, 124.908
0.177, 257.862, 125.616
0.178, 259.318, 126.325
0.179, 260.774, 127.033
0.18, 262.23, 127.742
0.181, 263.686, 128.45
0.182, 265.142, 129.158
0.183, 266.598, 129.867
0.184, 268.054, 130.575
0.185, 269.509, 131.283
0.186, 270.965, 131.991
0.187, 272.42, 132.699
0.188, 273.875, 133.407
0.189, 275.331, 134.115
0.19, 276.786, 134.823
0.191, 278.241, 135.531
0.192, 279.696, 136.239
0.193, 281.15, 136.946
0.194, 282.605, 137.654
0.195, 284.06, 138.361
0.196, 285.514, 139.069
0.197, 286.969, 139.776
0.198, 288.423, 140.484
0.199, 289.877, 141.191
0.2, 291.331, 141.898
0.201, 292.785, 142.606
0.202, 294.239, 143.313
0.203, 295.693, 144.02
0.204, 297.147, 144.727
0.205, 298.6, 145.434
0.206, 300.054, 146.141
0.207, 301.507, 146.848
0.208, 302.961, 147.555
0.209, 304.414, 148.261
0.21, 305.867, 148.968
0.211, 307.32, 149.675
0.212, 308.773, 150.381
0.213, 310.226, 151.088
0.214, 311.679, 151.794
0.215, 313.131, 152.501
0.216, 314.584, 153.207
0.217, 316.036, 153.914
0.218, 317.489, 154.62
0.219, 318.941, 155.326
0.22, 320.393, 156.032
0.221, 321.845, 156.738
0.222, 323.297, 157.444
0.223, 324.749, 158.15
0.224, 326.201, 158.856
0.225, 327.652, 159.562
0.226, 329.104, 160.268
0.227, 330.555, 160.973
0.228, 332.007, 161.679
0.229, 333.458, 162.385
0.23, 334.909, 163.09
0.231, 336.36, 163.796
0.232, 337.811, 164.501
0.233, 339.262, 165.207
0.234, 340.713, 165.912
0.235, 342.164, 166.617
0.236, 343.614, 167.323
0.237, 345.065, 168.028
0.238, 346.515, 168.733
0.239, 347.965, 169.438
0.24, 349.416, 170.143
0.241, 350.866, 170.848
0.242, 352.316, 171.553
0.243, 353.766, 172.257
0.244, 355.216, 172.962
0.245, 356.665, 173.667
0.246, 358.115, 174.372
0.247, 359.564, 175.076
0.248, 361.014, 175.781
0.249, 362.463, 176.485
0.25, 363.912, 177.19
0.251, 365.361, 177.894
0.252, 366.811, 178.598
0.253, 368.259, 179.303
0.254, 369.708, 180.007
0.255, 371.157, 180.711
0.256, 372.606, 181.415
0.257, 374.054, 182.119
0.258, 375.503, 182.823
0.259, 376.951, 183.527
0.26, 378.399, 184.231
0.261, 379.847, 184.934
0.262, 381.296, 185.638
0.263, 382.744, 186.342
0.264, 384.191, 187.046
0.265, 385.639, 187.749
0.266, 387.087, 188.453
0.267, 388.534, 189.156
0.268, 389.982, 189.859
0.269, 391.429, 190.563
0.27, 392.877, 191.266
0.271, 394.324, 191.969
0.272, 395.771, 192.672
0.273, 397.218, 193.376
0.274, 398.665, 194.079
0.275, 400.112, 194.782
0.276, 401.558, 195.485
0.277, 403.005, 196.187
0.278, 404.451, 196.89
0.279, 405.898, 197.593
0.28, 407.344, 198.296
0.281, 408.79, 198.998
0.282, 410.237, 199.701
0.283, 411.683, 200.404
0.284, 413.129, 201.106
0.285, 414.574, 201.808
0.286, 416.02, 202.511
0.287, 417.466, 203.213
0.288, 418.911, 203.915
0.289, 420.357, 204.618
0.29, 421.802, 205.32
0.291, 423.247, 206.022
0.292, 424.693, 206.724
0.293, 426.138, 207.426
0.294, 427.583, 208.128
0.295, 429.027, 208.83
0.296, 430.472, 209.531
0.297, 431.917, 210.233
0.298, 433.361, 210.935
0.299, 434.806, 211.637
0.3, 436.25, 212.338
0.301, 437.695, 213.04
