t,x,y
0, 0, 0
1e-05, 0.0147402, 0.00718928
6e-05, 0.0884411, 0.0431356
0.00031, 0.456942, 0.222865
0.00156, 2.29935, 1.12146
0.00781, 11.509, 5.61301
0.03906, 57.4974, 28.0359
0.19531, 285.965, 139.288
0.406305, 590.686, 287.295
0.631669, 911.533, 442.655
0.864055, 1237.59, 600.019
1.10244, 1567.23, 758.57
1.34679, 1900.28, 918.182
1.59724, 2236.75, 1078.83
1.85391, 2576.71, 1240.51
2.11698, 2920.22, 1403.22
2.3866, 3267.36, 1566.94
2.66293, 3618.18, 1731.67
2.94614, 3972.77, 1897.4
3.2364, 4331.2, 2064.1
3.53389, 4693.53, 2231.78
3.83877, 5059.85, 2400.4
4.15125, 5430.24, 2569.95
4.47149, 5804.76, 2740.42
4.7997, 6183.51, 2911.77
5.13606, 6566.57, 3083.98
5.48079, 6954.02, 3257.02
5.83408, 7345.94, 3430.85
6.19615, 7742.43, 3605.45
6.5672, 8143.56, 3780.77
6.94745, 8549.44, 3956.78
7.33713, 8960.16, 4133.41
7.73647, 9375.8, 4310.63
8.14569, 9796.46, 4488.38
8.56503, 10222.2, 4666.6
8.99474, 10653.2, 4845.22
9.43505, 11089.5, 5024.17
9.88623, 11531.2, 5203.39
10.3485, 11978.5, 5382.78
10.8222, 12431.3, 5562.26
11.3074, 12889.9, 5741.74
11.8046, 13354.2, 5921.12
12.314, 13824.5, 6100.28
12.8358, 14300.8, 6279.11
13.3703, 14783.2, 6457.48
13.9178, 15271.9, 6635.27
14.4786, 15766.9, 6812.33
15.0529, 16268.3, 6988.51
15.6411, 16776.2, 7163.64
16.2434, 17290.7, 7337.56
16.8602, 17812, 7510.08
17.4917, 18340, 7681.01
18.1381, 18875, 7850.13
18.7999, 19416.9, 8017.24
19.4772, 19965.8, 8182.1
20.1704, 20521.9, 8344.46
20.8797, 21085.2, 8504.07
21.6054, 21655.7, 8660.65
22.3477, 22233.5, 8813.91
23.107, 22818.7, 8963.56
23.8834, 23411.2, 9109.27
24.6772, 24011.1, 9250.72
25.4885, 24618.4, 9387.55
26.3177, 25233, 9519.41
27.1648, 25855, 9645.91
28.0301, 26484.3, 9766.66
28.9136, 27120.8, 9881.26
29.8155, 27764.5, 9989.29
30.7358, 28415.1, 10090.3
31.6745, 29072.7, 10183.9
32.6317, 29737, 10269.6
33.6073, 30407.8, 10346.9
34.6013, 31084.9, 10415.3
35.6133, 31768, 10474.5
36.6433, 32456.8, 10523.9
37.691, 33151, 10563.1
38.7561, 33850.2, 10591.6
39.8381, 34553.9, 10608.9
40.2599, 34826.5, 10612.5
40.6077, 35050.5, 10614.2
40.8359, 35197.1, 10614.6
40.9085, 35243.7, 10614.6
41.1705, 35411.6, 10614.3
41.4324, 35579.1, 10613.3
42.4374, 36218.2, 10603.2
43.7, 37013.6, 10576.4
45.0263, 37840.1, 10530.9
46.3819, 38675.5, 10466
47.7624, 39516.8, 10380.5
49.1688, 40363.9, 10273
50.6036, 41218, 10142
52.0707, 42080.7, 9985.33
53.576, 42954.8, 9800.49
55.0813, 43817.5, 9590.87
56.5866, 44668.8, 9356.07
58.0918, 45508.6, 9095.68
59.4074, 46233.1, 8846.79
60.723, 46948.5, 8577.66
62.0387, 47654.7, 8287.94
63.3543, 48351.5, 7977.23
64.4969, 48948.8, 7689.99
65.6395, 49538.8, 7386.27
66.7821, 50121.2, 7065.69
67.9247, 50695.7, 6727.88
68.9168, 51188.1, 6420.25
69.9089, 51674.4, 6098.98
70.901, 52154.2, 5763.73
71.8931, 52627.5, 5414.13
72.7556, 53033.5, 5098.21
73.6181, 53434.3, 4770.81
74.4805, 53829.6, 4431.6
75.343, 54219.4, 4080.22
76.0938, 54554.1, 3764.11
76.8446, 54884.3, 3438.17
77.5953, 55209.9, 3102.06
78.3461, 55530.8, 2755.44
79.0004, 55806.5, 2444.47
79.6547, 56078.3, 2124.93
80.309, 56346.3, 1796.49
80.9633, 56610.2, 1458.81
81.5341, 56837.1, 1156.36
82.1049, 57060.8, 846.299
82.6758, 57281.1, 528.333
83.2466, 57498, 202.125
